"U:0","U:1","U:2","k","nut","omega","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.30204,-1.0649e-05,0,0.0034714,9.3594e-09,86966,-2.2583,1,0.1914,0.1414,0.05001,0
0.30214,-1.0432e-05,0,0.0034714,9.3373e-09,86966,-2.2575,1,0.1917,0.1417,0.05001,0
0.30224,-1.0215e-05,0,0.0034714,9.3153e-09,86966,-2.2566,1,0.192,0.142,0.05001,0
0.30234,-9.9979e-06,0,0.0034715,9.2932e-09,86966,-2.2557,1,0.1923,0.1423,0.05001,0
0.30243,-9.794e-06,0,0.0034714,9.2716e-09,86966,-2.2549,1,0.1926,0.1426,0.05001,0
0.30252,-9.599e-06,0,0.0034713,9.2504e-09,86966,-2.2541,1,0.1929,0.1429,0.05001,0
0.30261,-9.404e-06,0,0.0034712,9.2291e-09,86966,-2.2533,1,0.1932,0.1432,0.05001,0
0.3027,-9.209e-06,0,0.0034711,9.2079e-09,86966,-2.2524,1,0.1935,0.1435,0.05001,0
0.30279,-9.014e-06,0,0.003471,9.1867e-09,86966,-2.2516,1,0.1938,0.1438,0.05001,0
0.30287,-8.819e-06,0,0.0034709,9.1654e-09,86966,-2.2508,1,0.1941,0.1441,0.05001,0
0.30296,-8.6526e-06,0,0.0034708,9.1443e-09,86966,-2.25,1,0.1944,0.1444,0.05001,0
0.30304,-8.6023e-06,0,0.0034706,9.1239e-09,86966,-2.2492,1,0.1947,0.1447,0.05001,0
0.30312,-8.5519e-06,0,0.0034703,9.1035e-09,86966,-2.2484,1,0.195,0.145,0.05001,0
0.3032,-8.5015e-06,0,0.0034701,9.083e-09,86966,-2.2476,1,0.1953,0.1453,0.05001,0
